1, 1, 13, 9, 7
2, 1, 17, 13, 11
3, 1, 23, 10, 29
4, 1, 12, 17, 25
5, 1, 16, 8, 18
6, 1, 17, 4, 9
7, 1, 24, 14, 37
8, 1, 20, 19, 2
9, 1, 23, 18, 16
10, 1, 12, 9, 45
11, 1, 18, 7, 47
12, 1, 2, 19, 24
13, 1, 3, 15, 23
14, 1, 23, 15, 26
15, 1, 22, 19, 24
16, 1, 1, 5, 47
17, 1, 3, 2, 4
18, 1, 12, 4, 31
19, 1, 28, 12, 28
20, 1, 0, 15, 36
21, 1, 16, 5, 2
22, 1, 9, 14, 26
23, 1, 29, 5, 6
24, 1, 22, 8, 42
25, 1, 18, 1, 41
26, 1, 11, 11, 17
27, 1, 2, 11, 30
28, 1, 29, 4, 8
29, 1, 15, 10, 41
30, 1, 18, 12, 10
31, 1, 8, 0, 16
32, 1, 16, 19, 11
33, 1, 20, 4, 12
34, 1, 27, 11, 16
35, 1, 16, 6, 18
36, 1, 25, 15, 24
37, 1, 19, 15, 16
38, 1, 14, 18, 8
39, 1, 1, 12, 18
40, 1, 0, 6, 24
41, 1, 19, 10, 24
42, 1, 25, 3, 28
43, 1, 16, 10, 10
44, 1, 3, 9, 31
45, 1, 14, 0, 7
46, 1, 13, 1, 37
47, 1, 4, 16, 44
48, 2, 5, 15, 16
49, 2, 10, 2, 1
50, 2, 13, 6, 17
51, 2, 9, 14, 11
52, 2, 10, 7, 38
53, 2, 14, 12, 16
54, 2, 2, 7, 17
55, 2, 12, 18, 17
56, 2, 10, 5, 37
57, 2, 3, 12, 31
58, 2, 10, 19, 49
59, 2, 0, 11, 37
60, 2, 25, 6, 12
61, 2, 8, 5, 1
62, 2, 1, 2, 34
63, 2, 15, 5, 16
64, 2, 11, 15, 44
65, 2, 17, 12, 40
66, 2, 16, 0, 19
67, 2, 16, 19, 1
68, 2, 8, 18, 13
69, 2, 1, 7, 5
70, 2, 6, 18, 32
71, 2, 6, 4, 1
72, 2, 23, 13, 9
73, 2, 16, 10, 14
74, 2, 9, 18, 38
75, 2, 12, 18, 31
76, 2, 1, 4, 28
77, 2, 12, 2, 31
78, 2, 23, 1, 25
79, 2, 9, 9, 46
80, 2, 12, 4, 5
81, 2, 5, 3, 6
82, 2, 26, 19, 7
83, 3, 9, 3, 40
84, 3, 26, 17, 35
85, 3, 8, 2, 1
86, 3, 28, 5, 21
87, 3, 9, 19, 15
88, 3, 28, 18, 25
89, 3, 10, 8, 43
90, 3, 23, 17, 25
91, 3, 10, 10, 3
92, 3, 14, 4, 17
93, 3, 22, 1, 33
94, 3, 1, 9, 3
95, 3, 8, 10, 4
96, 3, 17, 5, 43
97, 3, 22, 4, 42
98, 3, 23, 4, 45
99, 3, 23, 11, 27
100, 3, 6, 16, 5
101, 3, 5, 8, 6
102, 3, 3, 7, 14
103, 3, 21, 13, 30
104, 3, 3, 0, 23
105, 3, 19, 11, 31
106, 3, 9, 15, 12
107, 3, 17, 7, 48
108, 3, 29, 12, 9
109, 3, 23, 10, 39
110, 3, 21, 18, 24
111, 3, 10, 3, 8
112, 4, 21, 14, 44
113, 4, 20, 5, 6
114, 4, 7, 7, 28
115, 4, 6, 17, 27
116, 4, 18, 2, 30
117, 4, 10, 19, 1
118, 4, 23, 2, 12
119, 4, 29, 10, 12
120, 4, 28, 10, 9
121, 4, 19, 10, 9
122, 4, 13, 5, 19
123, 4, 9, 7, 3
124, 4, 24, 5, 9
125, 4, 0, 0, 21
126, 4, 18, 12, 7
127, 4, 16, 5, 8
128, 4, 12, 0, 30
129, 4, 1, 17, 13
130, 4, 11, 4, 45
131, 4, 15, 1, 42
132, 4, 18, 9, 35
133, 4, 23, 7, 14
134, 4, 7, 16, 2
135, 4, 9, 4, 9
136, 4, 20, 11, 28
137, 4, 20, 19, 34
138, 4, 1, 1, 15
139, 4, 24, 13, 49
140, 4, 6, 18, 20
141, 4, 15, 0, 31
142, 4, 13, 6, 5
143, 4, 13, 18, 30
144, 4, 20, 8, 46
145, 4, 21, 14, 43
146, 4, 17, 12, 34
147, 4, 21, 19, 32
148, 4, 20, 2, 2
149, 4, 2, 11, 1
150, 4, 25, 9, 3
151, 4, 25, 13, 25
152, 4, 7, 6, 27
153, 4, 17, 13, 26
154, 4, 7, 19, 28
155, 4, 19, 15, 44
156, 4, 5, 12, 15
157, 4, 25, 5, 45
158, 5, 7, 18, 14
159, 5, 1, 17, 44
160, 5, 4, 4, 33
161, 5, 9, 7, 9
162, 5, 22, 9, 29
163, 5, 13, 12, 17
164, 5, 21, 9, 35
165, 5, 17, 7, 48
166, 5, 11, 3, 31
167, 5, 5, 1, 32
168, 6, 29, 12, 20
169, 6, 12, 5, 31
170, 6, 8, 9, 13
171, 6, 4, 15, 14
172, 6, 8, 1, 38
173, 6, 12, 7, 17
174, 6, 20, 10, 40
175, 6, 11, 14, 43
176, 6, 21, 18, 28
177, 6, 10, 3, 28
178, 6, 21, 1, 46
179, 6, 10, 19, 21
180, 6, 16, 1, 38
181, 6, 10, 12, 22
182, 6, 26, 13, 32
183, 6, 4, 5, 45
184, 6, 0, 8, 10
185, 6, 3, 15, 29
186, 6, 11, 17, 15
187, 6, 20, 13, 48
188, 6, 20, 1, 31
189, 6, 10, 10, 41
190, 6, 19, 9, 4
191, 6, 6, 9, 49
192, 6, 17, 15, 25
193, 6, 15, 11, 40
194, 6, 29, 9, 24
195, 6, 22, 0, 45
196, 6, 25, 9, 5
197, 6, 21, 12, 24
198, 6, 3, 3, 49
199, 6, 19, 18, 48
200, 6, 3, 18, 46
201, 6, 14, 8, 2
202, 6, 16, 18, 21
203, 6, 6, 19, 48
204, 7, 25, 15, 44
205, 7, 21, 6, 40
206, 7, 8, 11, 10
207, 7, 19, 13, 1
208, 7, 13, 14, 30
209, 7, 15, 11, 4
210, 7, 26, 0, 1
211, 7, 27, 10, 11
212, 7, 20, 16, 48
213, 7, 4, 6, 48
214, 7, 17, 15, 41
215, 7, 4, 9, 31
216, 7, 5, 15, 44
217, 7, 28, 6, 15
218, 7, 5, 2, 31
219, 7, 10, 16, 41
220, 7, 24, 7, 8
221, 7, 17, 9, 23
222, 7, 4, 18, 10
223, 7, 13, 7, 3
224, 7, 0, 13, 15
225, 7, 10, 10, 16
226, 7, 9, 8, 17
227, 7, 16, 9, 11
228, 7, 0, 0, 44
229, 7, 17, 9, 26
230, 7, 19, 8, 24
231, 7, 27, 16, 41
232, 7, 0, 3, 15
233, 7, 22, 18, 38
234, 7, 7, 13, 19
235, 7, 3, 16, 34
236, 7, 11, 18, 33
237, 7, 15, 16, 22
238, 7, 28, 19, 39
239, 7, 2, 6, 28
240, 7, 21, 13, 8
241, 7, 29, 14, 43
242, 7, 22, 15, 9
243, 7, 22, 8, 38
244, 7, 1, 19, 13
245, 7, 11, 3, 42
246, 7, 0, 5, 40
247, 7, 14, 4, 47
248, 7, 6, 12, 25
249, 8, 10, 5, 19
250, 9, 8, 11, 26
251, 9, 18, 19, 22
252, 9, 2, 17, 41
253, 9, 27, 18, 42
254, 9, 20, 0, 26
255, 9, 17, 8, 15
256, 9, 18, 14, 6
257, 9, 29, 16, 19
258, 9, 25, 2, 45
259, 9, 21, 12, 48
260, 9, 20, 3, 31
261, 9, 4, 19, 12
262, 9, 22, 4, 43
263, 9, 26, 13, 46
264, 9, 22, 8, 40
265, 9, 9, 10, 10
266, 9, 2, 15, 45
267, 9, 23, 15, 31
268, 9, 8, 16, 48
269, 9, 26, 15, 23
270, 9, 6, 7, 8
271, 9, 19, 12, 26
272, 9, 21, 16, 1
273, 9, 19, 11, 36
274, 9, 13, 16, 35
275, 9, 13, 2, 15
276, 9, 17, 10, 2
277, 9, 27, 11, 28
278, 9, 0, 4, 37
279, 10, 4, 8, 6
280, 10, 2, 15, 27
281, 10, 19, 10, 11
282, 10, 24, 7, 20
283, 10, 18, 0, 46
284, 10, 3, 13, 22
285, 10, 8, 10, 21
286, 10, 19, 12, 46
287, 10, 0, 19, 36
288, 10, 20, 2, 37
289, 10, 15, 7, 49
290, 10, 5, 14, 38
291, 10, 2, 14, 29
292, 10, 23, 1, 19
293, 10, 24, 10, 23
294, 10, 16, 10, 31
295, 10, 16, 11, 7
296, 10, 20, 0, 24
297, 10, 4, 17, 19
298, 10, 8, 8, 39
299, 10, 1, 15, 2
300, 10, 22, 14, 5
301, 10, 20, 1, 35
302, 10, 8, 0, 25
